"hurr_sum","dhw_mean","dhw_sd","sst_mean","sst_sd","k490_mean","k490_sd","prod_mean","prod_sd","rain_mean","rain_sd","6_depth","9_reef","11_het_hab","11_het_typ","12_nursery","14_pop2000","14_pop2005","14_pop2010","14_pop2015","14_pop2020","15_margin","8_fsas","16_slope","23_watpol","18_river","22_inorpol","13_conlob","13_conyel","7_mpa","-","YEAR","REGION"
0,0.036484018264840185,0.07240205920436525,27.793963470319635,0.8436658238482717,0.0497074255139559,0.023141060698283533,407.6751095309786,150.30630110053733,0.07295890227579908,0.3704091021963075,-5.6,6.772957777777778,3.3333333333333335,8,0.8375684444444444,3251211.925222222,3210703.531,3174563.3565555555,3142735.396888889,3115179.3122222223,39.37210977777778,96.88211433333333,1.7415844444444444,50,16.743775111111113,22.902890444444445,0.06493911111111111,0.06988622222222222,41.355827444444444,,2003,"PR-North"
0,0.005713418336369156,0.026980624166427956,27.472486338797815,1.015924316338211,0.051103895767169956,0.020341621475920828,462.0667441926179,135.91568768755252,0.11715239569672131,0.5603653680046842,-5.6,6.772957777777778,3.3333333333333335,8,0.8375684444444444,3251211.925222222,3210703.531,3174563.3565555555,3142735.396888889,3115179.3122222223,39.37210977777778,96.88211433333333,1.7415844444444444,50,16.743775111111113,22.902890444444445,0.06493911111111111,0.06988622222222222,41.355827444444444,,2004,"PR-North"
0,1.3571354642313547,2.2533016349489894,27.92461491628615,1.3928481139412021,0.05103797736408853,0.023485022117422955,384.30816628463185,146.14753136329784,0.1212694025759513,0.6428081151650527,-5.6,6.772957777777778,3.3333333333333335,8,0.8375684444444444,3251211.925222222,3210703.531,3174563.3565555555,3142735.396888889,3115179.3122222223,39.37210977777778,96.88211433333333,1.7415844444444444,50,16.743775111111113,22.902890444444445,0.06493911111111111,0.06988622222222222,41.355827444444444,,2005,"PR-North"
0,0.44343835616438354,0.7634321925835685,27.882583561643834,1.1507737658763353,0.051159302399907,0.016669434597118164,368.16567472941074,101.11095159329237,0.19407807720136985,1.0253711316366103,-5.1,6.508707,3.4,8.1,0.8999876,3414716.8338,3372325.3408,3334534.0392,3301285.6494,3272539.7049,39.4690937,101.0923187,1.6141219999999998,55,17.0761306,22.132791400000002,0.0784976,0.0716287,39.4680349,,2006,"PR-North"
0,3.698630136986301e-4,0.0055484553490530355,27.887469178082192,0.9053032046594925,0.051024485971678364,0.021418073206920497,364.0922490755717,103.05256126700417,0.09937157409349315,0.523240321064795,-6.15,6.938512,3.25,7.5,0.607856375,3058193.4335,3020354.19675,2986606.8151249997,2956897.366125,2931186.18,39.032871375,90.19544575,1.86676125,43.75,17.758011625,22.37857675,0.06924337500000001,0.06916412499999999,42.291679875,,2007,"PR-North"
0,0.012909836065573771,0.023686437630937345,27.51111680327869,1.1382874456144396,0.04435728071276329,0.019488154365986658,368.0888040860493,88.89542637502201,0.14202526991051914,0.7665070091098405,-6.15,6.938512,3.25,7.5,0.607856375,3058193.4335,3020354.19675,2986606.8151249997,2956897.366125,2931186.18,39.032871375,90.19544575,1.86676125,43.75,17.758011625,22.37857675,0.06924337500000001,0.06916412499999999,42.291679875,,2008,"PR-North"
0,0.07322540473225404,0.13332295331137783,27.53330510585305,1.314108431896455,0.04777691256185029,0.020341786959646235,415.7736661691376,122.50730330028969,0.0669427126607721,0.3058626694228286,-4.6,6.348616909090909,3.4545454545454546,8.363636363636363,1.1416927272727273,3541039.545,3496831.9342727275,3457403.3157272725,3422694.914727273,3392665.6903636362,39.60178018181818,105.75579499999999,1.45959,59.09090909090909,16.144129,22.461610909090908,0.05867836363636364,0.07305436363636364,39.11898081818182,,2009,"PR-North"
0,0.5866815068493151,0.9452055145132442,28.12799315068493,0.9727557520075092,0.05240750499260848,0.01990113072145821,405.2245305112204,105.38417527714834,0.051785957754794526,0.3372242130838747,-6.15,6.938512,3.25,7.5,0.607856375,3058193.4335,3020354.19675,2986606.8151249997,2956897.366125,2931186.18,39.032871375,90.19544575,1.86676125,43.75,17.758011625,22.37857675,0.06924337500000001,0.06916412499999999,42.291679875,,2010,"PR-North"
1,0.007868493150684932,0.04006303857549588,27.63168767123288,1.222785884559814,0.05539665304011019,0.024719723214672563,454.0080774943034,148.27079941150834,0.14394794227369861,0.6984220789959507,-5.1,6.508707,3.4,8.1,0.8999876,3414716.8338,3372325.3408,3334534.0392,3301285.6494,3272539.7049,39.4690937,101.0923187,1.6141219999999998,55,17.0761306,22.132791400000002,0.0784976,0.0716287,39.4680349,,2011,"PR-North"
0,0,0,27.791601775956284,1.1459914940567955,0.05343007436324071,0.022835514931018826,383.54686403274536,96.07630489076094,0.1345133170136612,0.524613911809475,-6.15,6.938512,3.25,7.5,0.607856375,3058193.4335,3020354.19675,2986606.8151249997,2956897.366125,2931186.18,39.032871375,90.19544575,1.86676125,43.75,17.758011625,22.37857675,0.06924337500000001,0.06916412499999999,42.291679875,,2012,"PR-North"
0,0.06789041095890411,0.1224461646697004,27.622489726027396,1.0620994914070288,0.04876479020305827,0.0132409015471428,397.30535491307575,81.30726162616538,0.16217465478938356,0.6990634891155687,-6.15,6.938512,3.25,7.5,0.607856375,3058193.4335,3020354.19675,2986606.8151249997,2956897.366125,2931186.18,39.032871375,90.19544575,1.86676125,43.75,17.758011625,22.37857675,0.06924337500000001,0.06916412499999999,42.291679875,,2013,"PR-North"
