"hurr_sum","dhw_mean","dhw_sd","sst_mean","sst_sd","k490_mean","k490_sd","prod_mean","prod_sd","rain_mean","rain_sd","6_depth","9_reef","11_het_hab","11_het_typ","12_nursery","14_pop2000","14_pop2005","14_pop2010","14_pop2015","14_pop2020","15_margin","8_fsas","16_slope","23_watpol","18_river","22_inorpol","13_conlob","13_conyel","7_mpa","-","YEAR","REGION"
0,0.08389468111414132,0.1482456927105024,27.960381827110957,0.8937776435969368,0.06848549461745579,0.020456523426761516,511.3049950498983,120.02277585612835,0.06699413295865751,0.49746876323766703,-183.94360563590135,11.721452545639462,2.8105771675565725,6.434274091024663,8.981813722095092,1663604.8723719807,1634361.3125265955,1607354.1950757182,1582574.4247173914,1560043.3422809306,53.27978576938724,18.183956247393848,2.2512272260361046,29.54233409610984,20.735784523264684,2.6460325405542844,0.10337299542334097,0.048912863463005336,14.72881982100178,,2003,"PR-West"
0.627619288058571,0.0028408540648370796,0.005432653825973931,27.75855452685542,0.9701798147912261,0.05606421671787176,0.013679862506129565,500.0023660818613,104.80551084539431,0.0558914982572969,0.35890308329882004,-182.96740746629638,11.693089439787933,2.8255491037616762,6.473112850290331,8.917606474122696,1651693.3896808382,1623131.1459260036,1596931.1224132543,1573141.4590345873,1551864.3069559454,53.60209818177228,18.122752790204494,2.255327222923504,29.404190860893713,21.462412232012117,2.6089359171926283,0.10191060893713709,0.04904455440545317,15.390411520575611,,2004,"PR-West"
0,1.154578041155011,1.924567402126458,28.178061325626768,1.3504989515828727,0.05627370718118959,0.01432534414102626,442.6372542157747,121.46651044044324,0.05508461488742501,0.38898312201252394,-183.79913708123888,11.701788094440213,2.8184818481848186,6.441482609799442,9.004851042396547,1666779.8558810358,1637464.0658677584,1610372.4909251586,1585489.761581569,1562828.3785394263,53.28251210357959,18.219564419395784,2.255466242701193,30.997715156130997,20.5858999652196,2.7182708156892614,0.10270355090124397,0.048686732419395785,14.67842579893374,,2005,"PR-West"
0,0.5441505661168576,0.9436664421043947,28.164362566396424,1.102267700559874,0.058961492195183346,0.012346727368043462,467.14546267639474,102.64570522865537,0.09261857489196323,0.546587546331926,-184.5234441239796,11.7351779875,2.813265306122449,6.435969387755102,9.011600349234694,1663081.9741043367,1633848.4423071684,1606851.35339,1582081.8255623723,1559561.4967683419,53.33942177602041,18.14724976122449,2.2498988341836736,29.607142857142858,20.781214760459182,2.63622955994898,0.10297879362244898,0.048815671428571426,14.777277866581633,,2006,"PR-West"
0,5.737961258290774e-4,0.002413550845094771,28.12024203340233,0.9061181433049852,0.059883424496389115,0.013938153368177355,462.65707774070967,106.8611312307806,0.04660965553056587,0.3393751947380466,-183.1421414745634,11.716513623133384,2.8159959503923058,6.467476588205518,9.086242144267274,1664925.4186697039,1635681.0540109086,1608673.6695134903,1583893.894666034,1561362.6809713743,53.30819950113895,18.231181412300682,2.241680850417616,29.863325740318906,20.66285771576816,2.6775238397873955,0.10454255808656036,0.04875818982536067,14.684992387749936,,2007,"PR-West"
0,0.07671032319210665,0.1371417849324126,27.768068786791435,1.1433089141724886,0.056377576908255615,0.012772314647745097,454.6382490413453,80.67494990262058,0.07917508043704949,0.46718542097028304,-182.96740746629638,11.693089439787933,2.8255491037616762,6.473112850290331,8.917606474122696,1651693.3896808382,1623131.1459260036,1596931.1224132543,1573141.4590345873,1551864.3069559454,53.60209818177228,18.122752790204494,2.255327222923504,29.404190860893713,21.462412232012117,2.6089359171926283,0.10191060893713709,0.04904455440545317,15.390411520575611,,2008,"PR-West"
0,0.02047447607142487,0.03749553556473287,27.853941089329435,1.2893953409708276,0.06188821547992192,0.017237065869322644,492.1955273549482,105.9225291224843,0.03713482034962896,0.24860929540194046,-182.71394025081926,11.69184245702042,2.827325434837409,6.478195109654651,8.905110439626922,1650094.574934056,1621614.0929220822,1595508.6058138392,1571832.2282734308,1550695.523220973,53.644858789513485,18.099288016889336,2.2554638694227376,29.374842450214267,21.55583828510209,2.605083403075372,0.10216338694227375,0.049077652634232416,15.484577747416184,,2009,"PR-West"
0,0.723872564717045,1.1716369671133477,28.394564835647834,0.9895329574484195,0.06909353532640432,0.021075053106898972,530.9837108736724,160.26195910807164,0.026521056562394524,0.2074853307062117,-184.2011461586453,11.722755565571683,2.808759867583397,6.42908072319837,8.994535141074612,1665238.1718363636,1635910.9764599185,1608807.1265210593,1583911.4036386046,1561236.5277376624,53.236097150751206,18.20775354214413,2.2510829233511584,29.572192513368982,20.64029663967405,2.6499809752992105,0.1031198770053476,0.0488792268907563,14.632683591800356,,2010,"PR-West"
0.7646610814927647,0.018880969024194307,0.04836577114642827,27.933928735128518,1.1900288878530956,0.057864924673970176,0.012432589597379584,482.4422520436318,82.53441596387671,0.06930643198102154,0.44557002531509693,-183.79913708123888,11.701788094440213,2.8184818481848186,6.441482609799442,9.004851042396547,1666779.8558810358,1637464.0658677584,1610372.4909251586,1585489.761581569,1562828.3785394263,53.28251210357959,18.219564419395784,2.255466242701193,30.997715156130997,20.5858999652196,2.7182708156892614,0.10270355090124397,0.048686732419395785,14.67842579893374,,2011,"PR-West"
0,0.04141893518460539,0.0712851512251153,28.096292933467474,1.0876240070633258,0.0615793925327808,0.015405515685781142,489.5179308331202,84.00955836379417,0.066954409392463,0.47770696376425453,-184.2011461586453,11.722755565571683,2.808759867583397,6.42908072319837,8.994535141074612,1665238.1718363636,1635910.9764599185,1608807.1265210593,1583911.4036386046,1561236.5277376624,53.236097150751206,18.20775354214413,2.2510829233511584,29.572192513368982,20.64029663967405,2.6499809752992105,0.1031198770053476,0.0488792268907563,14.632683591800356,,2012,"PR-West"
